"","artist_name","Valence","danceability","energy","loudness","speechiness","acousticness","liveness","tempo","track_name","album_name","album_release_year"
"38","Taylor Swift",0.698,0.651,0.855,-5.959,0.0538,0.0068,0.0759,121.98,"New Romantics (Taylor's Version)","1989 (Taylor's Version)",2023
"39","Taylor Swift",0.306,0.629,0.413,-13.178,0.055,0.345,0.0603,77.983,"""Slut!"" (Taylor's Version) (From The Vault)","1989 (Taylor's Version)",2023
"40","Taylor Swift",0.192,0.626,0.547,-8.285,0.0342,0.0656,0.149,109.946,"Say Don't Go (Taylor's Version) (From The Vault)","1989 (Taylor's Version)",2023
"41","Taylor Swift",0.0662,0.793,0.512,-9.319,0.0338,0.186,0.0889,109.994,"Now That We Don't Talk (Taylor's Version) (From The Vault)","1989 (Taylor's Version)",2023
"42","Taylor Swift",0.344,0.699,0.621,-8.739,0.0369,0.198,0.104,118.048,"Suburban Legends (Taylor's Version) (From The Vault)","1989 (Taylor's Version)",2023
"43","Taylor Swift",0.176,0.596,0.658,-7.346,0.036,0.0504,0.127,100.012,"Is It Over Now? (Taylor's Version) (From The Vault)","1989 (Taylor's Version)",2023
"44","Taylor Swift",0.49,0.646,0.783,-2.846,0.0356,0.00444,0.171,121.08,"Mine (Taylor's Version)","Speak Now (Taylor's Version)",2023
"45","Taylor Swift",0.387,0.588,0.758,-2.347,0.0305,0.0251,0.131,114.991,"Sparks Fly (Taylor’s Version)","Speak Now (Taylor's Version)",2023
"46","Taylor Swift",0.203,0.497,0.635,-3.927,0.0273,0.00621,0.117,142.063,"Back To December (Taylor's Version)","Speak Now (Taylor's Version)",2023
"47","Taylor Swift",0.639,0.727,0.677,-2.871,0.0325,0.248,0.143,118.995,"Speak Now (Taylor's Version)","Speak Now (Taylor's Version)",2023
"48","Taylor Swift",0.133,0.419,0.47,-5.016,0.0296,0.0236,0.163,119.294,"Dear John (Taylor's Version)","Speak Now (Taylor's Version)",2023
"49","Taylor Swift",0.621,0.524,0.692,-3.866,0.0369,0.311,0.192,163.874,"Mean (Taylor's Version)","Speak Now (Taylor's Version)",2023
"50","Taylor Swift",0.57,0.515,0.781,-2.608,0.0535,0.00192,0.054,139.846,"The Story Of Us (Taylor's Version)","Speak Now (Taylor's Version)",2023
"51","Taylor Swift",0.569,0.685,0.323,-7.103,0.0289,0.851,0.198,125.058,"Never Grow Up (Taylor's Version)","Speak Now (Taylor's Version)",2023
"52","Taylor Swift",0.216,0.505,0.532,-3.526,0.0265,0.012,0.149,81.907,"Enchanted (Taylor's Version)","Speak Now (Taylor's Version)",2023
"53","Taylor Swift",0.665,0.496,0.885,-2.969,0.0803,0.000886,0.191,145.863,"Better Than Revenge (Taylor's Version)","Speak Now (Taylor's Version)",2023
"54","Taylor Swift",0.149,0.522,0.598,-5.327,0.0284,0.101,0.152,133.627,"Innocent (Taylor's Version)","Speak Now (Taylor's Version)",2023
"55","Taylor Swift",0.355,0.427,0.915,-1.909,0.0619,0.00667,0.221,162.201,"Haunted (Taylor's Version)","Speak Now (Taylor's Version)",2023
"56","Taylor Swift",0.16,0.55,0.366,-8.46,0.0276,0.447,0.101,79.401,"Last Kiss (Taylor's Version)","Speak Now (Taylor's Version)",2023
"57","Taylor Swift",0.0752,0.375,0.65,-4.031,0.0402,0.0122,0.189,203.89,"Long Live (Taylor's Version)","Speak Now (Taylor's Version)",2023
"58","Taylor Swift",0.348,0.535,0.488,-8.261,0.0278,0.449,0.111,159.813,"Ours (Taylor’s Version)","Speak Now (Taylor's Version)",2023
"59","Taylor Swift",0.356,0.533,0.742,-3.473,0.0303,0.0031,0.108,131.93,"Superman (Taylor’s Version)","Speak Now (Taylor's Version)",2023
"60","Taylor Swift",0.282,0.547,0.855,-4.7,0.0597,0.0164,0.144,131.073,"Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault)","Speak Now (Taylor's Version)",2023
"61","Taylor Swift",0.231,0.474,0.763,-4.632,0.0505,0.159,0.138,78.133,"When Emma Falls in Love (Taylor’s Version) (From The Vault)","Speak Now (Taylor's Version)",2023
"62","Taylor Swift",0.819,0.694,0.764,-4.893,0.0337,0.0586,0.0608,123.044,"I Can See You (Taylor’s Version) (From The Vault)","Speak Now (Taylor's Version)",2023
"63","Taylor Swift",0.378,0.576,0.57,-7.925,0.0434,0.362,0.0668,147.803,"Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault)","Speak Now (Taylor's Version)",2023
"64","Taylor Swift",0.543,0.671,0.588,-4.675,0.0299,0.617,0.111,96.965,"Foolish One (Taylor’s Version) (From The Vault)","Speak Now (Taylor's Version)",2023
"65","Taylor Swift",0.65,0.624,0.585,-5.847,0.0328,0.3,0.0916,142.883,"Timeless (Taylor’s Version) (From The Vault)","Speak Now (Taylor's Version)",2023
"66","Taylor Swift",0.0751,0.735,0.454,-10.516,0.0876,0.236,0.133,97.043,"Lavender Haze","Midnights (The Til Dawn Edition)",2023
"67","Taylor Swift",0.0382,0.65,0.397,-8.237,0.0365,0.0609,0.089,108.055,"Maroon","Midnights (The Til Dawn Edition)",2023
"68","Taylor Swift",0.497,0.637,0.649,-6.59,0.0584,0.115,0.147,96.935,"Anti-Hero","Midnights (The Til Dawn Edition)",2023
"69","Taylor Swift",0.166,0.653,0.331,-13.534,0.039,0.705,0.116,110.014,"Snow On The Beach (feat. Lana Del Rey)","Midnights (The Til Dawn Edition)",2023
"70","Taylor Swift",0.39,0.694,0.386,-10.312,0.0597,0.423,0.126,120.044,"You're On Your Own, Kid","Midnights (The Til Dawn Edition)",2023
"71","Taylor Swift",0.198,0.654,0.372,-11.704,0.0667,0.705,0.114,140.15,"Midnight Rain","Midnights (The Til Dawn Edition)",2023
"72","Taylor Swift",0.113,0.741,0.509,-8.747,0.19,0.205,0.262,108.978,"Question...?","Midnights (The Til Dawn Edition)",2023
"73","Taylor Swift",0.157,0.867,0.272,-11.014,0.363,0.157,0.118,79.962,"Vigilante Shit","Midnights (The Til Dawn Edition)",2023
"74","Taylor Swift",0.425,0.695,0.546,-9.184,0.066,0.0648,0.0883,164,"Bejeweled","Midnights (The Til Dawn Edition)",2023
"75","Taylor Swift",0.13,0.493,0.308,-15.489,0.0436,0.804,0.123,109.993,"Labyrinth","Midnights (The Til Dawn Edition)",2023
"76","Taylor Swift",0.0956,0.647,0.614,-7.091,0.0651,0.0782,0.611,90.034,"Karma","Midnights (The Til Dawn Edition)",2023
"77","Taylor Swift",0.391,0.335,0.166,-14.958,0.048,0.967,0.115,175.917,"Sweet Nothing","Midnights (The Til Dawn Edition)",2023
"78","Taylor Swift",0.126,0.661,0.345,-14.037,0.144,0.545,0.0871,125.977,"Mastermind","Midnights (The Til Dawn Edition)",2023
"79","Taylor Swift",0.592,0.573,0.737,-9.002,0.0352,0.203,0.0851,96.009,"The Great War","Midnights (The Til Dawn Edition)",2023
"80","Taylor Swift",0.0633,0.48,0.22,-12.469,0.0425,0.837,0.116,82.951,"Bigger Than The Whole Sky","Midnights (The Til Dawn Edition)",2023
"81","Taylor Swift",0.454,0.691,0.498,-10.519,0.101,0.116,0.136,110.963,"Paris","Midnights (The Til Dawn Edition)",2023
"82","Taylor Swift",0.766,0.564,0.545,-10.17,0.104,0.726,0.0878,176.082,"High Infidelity","Midnights (The Til Dawn Edition)",2023
"83","Taylor Swift",0.399,0.677,0.451,-9.744,0.19,0.318,0.11,140.845,"Glitch","Midnights (The Til Dawn Edition)",2023
"84","Taylor Swift",0.534,0.482,0.837,-6.501,0.12,0.435,0.123,157.96,"Would've, Could've, Should've","Midnights (The Til Dawn Edition)",2023
"85","Taylor Swift",0.162,0.475,0.386,-12.038,0.0737,0.497,0.119,107.601,"Dear Reader","Midnights (The Til Dawn Edition)",2023
"86","Taylor Swift",0.239,0.672,0.782,-6.499,0.0421,0.148,0.296,106.026,"Hits Different","Midnights (The Til Dawn Edition)",2023
"87","Taylor Swift",0.315,0.664,0.401,-10.934,0.0344,0.806,0.108,109.846,"Snow On The Beach (feat. More Lana Del Rey)","Midnights (The Til Dawn Edition)",2023
"88","Taylor Swift",0.0734,0.615,0.616,-6.523,0.0622,0.0623,0.579,89.977,"Karma (feat. Ice Spice)","Midnights (The Til Dawn Edition)",2023
"89","Taylor Swift",0.0984,0.735,0.444,-10.519,0.0684,0.204,0.17,97.038,"Lavender Haze","Midnights (3am Edition)",2022
"90","Taylor Swift",0.0382,0.658,0.378,-8.3,0.0379,0.0593,0.0976,108.034,"Maroon","Midnights (3am Edition)",2022
